297.855, 129.655, 6.253,  6.491 False
297.646, 129.665, 6.284,  6.524 False
297.435, 129.674, 6.318,  6.557 False
297.224, 129.685, 6.347,  6.590 False
297.012, 129.696, 6.381,  6.623 False
296.799, 129.708, 6.411,  6.656 False
296.585, 129.720, 6.444,  6.689 False
296.369, 129.733, 6.474,  6.722 False
296.153, 129.747, 6.508,  6.755 False
295.936, 129.761, 6.537,  6.788 False
295.717, 129.776, 6.571,  6.821 False
295.498, 129.791, 6.600,  6.854 False
295.278, 129.807, 6.633,  6.887 False
295.056, 129.822, 6.663,  6.920 False
294.834, 129.837, 6.696,  6.953 False
294.611, 129.854, 6.723,  6.986 False
294.386, 129.872, 6.755,  7.019 False
294.161, 129.889, 6.783,  7.052 False
293.935, 129.906, 6.815,  7.085 False
293.708, 129.924, 6.842,  7.118 False
293.480, 129.942, 6.874,  7.151 False
293.250, 129.961, 6.901,  7.184 False
293.020, 129.980, 6.932,  7.217 False
292.790, 130.001, 6.959,  7.250 False
292.558, 130.022, 6.990,  7.283 False
292.325, 130.043, 7.018,  7.316 False
292.091, 130.064, 7.050,  7.349 False
291.856, 130.086, 7.078,  7.382 False
291.621, 130.109, 7.109,  7.415 False
291.384, 130.131, 7.137,  7.448 False
291.146, 130.152, 7.168,  7.481 False
290.908, 130.173, 7.196,  7.514 False
290.668, 130.194, 7.228,  7.547 False
290.427, 130.215, 7.255,  7.580 False
290.185, 130.236, 7.287,  7.613 False
289.943, 130.258, 7.314,  7.646 False
289.699, 130.279, 7.345,  7.679 False
289.454, 130.300, 7.373,  7.712 False
289.209, 130.321, 7.403,  7.745 False
288.962, 130.342, 7.431,  7.778 False
288.715, 130.363, 7.461,  7.811 False
288.466, 130.384, 7.489,  7.844 False
288.217, 130.405, 7.519,  7.877 False
287.966, 130.425, 7.546,  7.910 False
287.715, 130.446, 7.577,  7.943 False
287.462, 130.467, 7.604,  7.976 False
287.209, 130.487, 7.634,  8.009 False
286.954, 130.507, 7.661,  8.042 False
286.699, 130.528, 7.692,  8.075 False
286.443, 130.548, 7.719,  8.108 False
286.185, 130.568, 7.750,  8.141 False
285.927, 130.588, 7.778,  8.174 False
